"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Clone Metric Rules","Code Style Rules","Complexity Metric Rules","Correctness Rules","Coupling Metric Rules","Design Rules","Design Pattern","Documentation Metric Rules","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Size Metric Rules","Vulnerability Rules"
"L3291","void failNotNull(String message, Object actual)","org.junit.Assert.failNotNull(Ljava/lang/String;Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","751","5","757","6","0","0","0","0","0","0","0","0","76.635","10.1111","1533.05","132.955","34","22","85.1696","151.621","112.905","66.0264","87.3904","51.1055","2","1","1","1","1","0","0","0","0","0","7","7","4","2","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3299","void assertSame(String message, Object expected, Object actual)","org.junit.Assert.assertSame(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","768","5","773","6","0","0","0","0","0","0","0","0","51.0196","13.5","1242","115.544","23","16","69","92","118","69.006","141.343","82.6567","2","1","1","2","1","0.6","9","9","0.6","9","6","6","3","3","6","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3306","void assertSame(Object expected, Object actual)","org.junit.Assert.assertSame(Ljava/lang/Object;Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","782","5","784","6","0","0","0","0","0","0","0","0","27.6515","5.25","254.268","40.1354","14","11","14.126","48.432","132.796","77.6583","164.111","95.9711","1","0","0","18","1","0.7","7","7","0.7","7","3","3","1","2","3","3","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3311","void assertNotSame(String message, Object unexpected, Object actual)","org.junit.Assert.assertNotSame(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","796","5","801","6","0","0","0","0","0","0","0","0","46.0537","9.625","714.473","79.9203","19","15","39.6929","74.2309","119.116","69.6586","143.387","83.8521","2","1","1","2","1","0.625","10","10","0.625","10","6","6","2","3","6","6","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3318","void assertNotSame(Object unexpected, Object actual)","org.junit.Assert.assertNotSame(Ljava/lang/Object;Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","811","5","813","6","0","0","0","0","0","0","0","0","27.6515","5.25","254.268","40.1354","14","11","14.126","48.432","132.796","77.6583","164.435","96.1606","1","0","0","4","1","0.727273","8","8","0.727273","8","3","3","1","2","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3316","void failSame(String message)","org.junit.Assert.failSame(Ljava/lang/String;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","815","5","821","6","0","0","0","0","0","0","0","0","62.671","9.42857","1121.45","107.941","28","19","62.3029","118.942","114.167","66.7645","89.2115","52.1704","2","1","1","1","1","0","0","0","0","0","7","7","4","1","7","7","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3304","void failNotSame(String message, Object expected, Object actual)","org.junit.Assert.failNotSame(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","823","5","831","6","0","0","0","0","0","0","0","0","86.1595","10.0455","1842.32","150.283","40","24","102.351","183.398","107.844","63.0669","80.0893","46.8358","2","1","1","1","1","0","0","0","0","0","9","9","4","3","9","9","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3035","void failNotEquals(String message, Object expected, Object actual)","org.junit.Assert.failNotEquals(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)V","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","833","5","836","6","0","0","0","0","0","0","0","0","36.5293","7.875","524.537","65.0406","18","13","29.141","66.6079","126.478","73.9638","106.87","62.4973","1","0","0","4","2","0","0","0","0","0","4","4","1","3","4","4","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3330","String format(String message, Object expected, Object actual)","org.junit.Assert.format(Ljava/lang/String;Ljava/lang/Object;Ljava/lang/Object;)Ljava/lang/String;","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","838","5","853","6","0","0","0","0","0","0","0","0","150.439","20","9099.07","435.844","88","36","505.504","454.953","93.3391","54.5842","59.3662","34.7171","4","1","1","3","2","0","0","0","0","0","16","16","8","3","16","16","8","0","0","2","0","1","0","0","0","0","1","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L3339","String formatClass(Class<?> value)","org.junit.Assert.formatClass(Ljava/lang/Class;)Ljava/lang/String;","L2997","L103","C:\Users\Deyan\Downloads\junit4-r4.13\src\main\java\org\junit\Assert.java","855","5","858","6","0","0","0","0","0","0","0","0","66.6034","15","1720.41","143.578","27","19","95.5784","114.694","123.422","72.1768","102.563","59.9786","2","0","0","1","0","0","0","0","0","0","4","4","2","1","4","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
