"ID","Name","LongName","Parent","Component","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","AD","CD","CLOC","PDA","PUA","TAD","TCD","TCLOC","TPDA","TPUA","LLOC","LOC","NA","NCL","NEN","NG","NIN","NM","NPA","NPKG","NPM","NS","TLLOC","TLOC","TNA","TNCL","TNDI","TNEN","TNFI","TNG","TNIN","TNM","TNOS","TNPA","TNPCL","TNPEN","TNPIN","TNPKG","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Runtime Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L1874","money","junit.samples.money","L1814","L103","0.0825623","2","2","2","0","0","0","0","0.213115","0.177215","70","13","48","0.213115","0.177215","70","13","48","325","469","9","3","0","0","1","63","0","0","57","1","325","469","9","3","11","0","5","0","1","63","154","0","3","0","1","0","57","1","0","3","136","5","57","2","0","42","5","0","13","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"L2116","extensions","junit.tests.extensions","L2099","L103","0.097622","1","2","2","0","0","0","0","0.173913","0.0747664","16","4","19","0.173913","0.0747664","16","4","19","198","256","2","12","0","0","0","25","0","0","22","2","198","256","2","12","11","0","5","0","0","25","93","0","6","0","0","0","22","2","0","0","152","1","50","0","0","38","2","0","6","0","2","0","2","0","0","0","0","0","1","0","0","0","0"
"L2232","framework","junit.tests.framework","L2099","L103","0.0178159","1","2","2","0","0","0","0","0.144928","0.0918803","86","20","118","0.144928","0.0918803","86","20","118","850","1103","10","39","0","0","0","141","0","0","121","4","850","1103","10","39","11","0","23","0","0","141","351","0","23","0","0","0","121","4","0","1","546","23","220","0","0","190","6","0","15","0","20","0","12","0","0","0","0","0","1","0","0","0","0"
"L2635","runner","junit.tests.runner","L2099","L103","0.0409704","1","1","1","0","0","0","0","0.0444444","0.0452586","21","2","43","0.0444444","0.0452586","21","2","43","443","552","11","22","1","6","0","58","2","0","48","2","443","552","11","22","11","1","8","6","0","58","182","2","12","0","0","0","48","2","0","6","271","13","34","0","0","26","8","0","4","0","7","0","7","0","0","0","0","0","1","0","0","0","0"
"L3595","experimental","org.junit.experimental","L2978","L103","0.0489919","3","26","8","0","0","0","0","0","0","0","0","5","0.16208","0.213892","699","53","274","55","68","3","2","0","2","0","8","0","5","6","0","2569","3846","40","120","24","0","38","43","14","344","772","5","100","0","14","7","240","0","0","7","1115","67","290","5","0","170","115","0","23","0","41","0","11","0","0","0","0","0","4","0","0","0","0"
"L5642","function","org.junit.function","L2978","L103","0","0","0","0","0","0","0","0","0.5","0.692308","9","1","1","0.5","0.692308","9","1","1","4","15","0","0","0","0","1","1","0","0","1","0","4","15","0","0","11","0","1","0","1","1","0","0","0","0","1","0","1","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L5649","internal","org.junit.internal","L2978","L103","0.0356551","4","18","16","0","0","0","0","0.36","0.189189","273","27","48","0.250909","0.1744","778","69","206","1170","1710","41","37","1","24","1","151","7","5","78","0","3683","5252","127","129","28","1","73","70","4","445","1260","12","66","0","3","8","269","1","0","52","1203","70","218","4","0","91","96","0","56","0","26","0","61","0","0","0","6","0","4","0","0","0","0"
"L8098","matchers","org.junit.matchers","L2978","L103","0","0","0","0","0","0","0","0","1","0.576577","64","11","0","1","0.576577","64","11","0","47","123","0","1","0","0","0","10","0","0","10","0","47","123","0","1","11","0","2","0","0","10","10","0","1","0","0","0","10","0","0","0","1","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8173","rules","org.junit.rules","L2978","L103","0.0278838","3","7","7","0","0","0","0","0.128284","0.185459","1102","83","564","0.128284","0.185459","1102","83","564","4840","7008","254","300","1","28","2","653","138","0","516","2","4840","7008","254","300","16","1","41","28","2","653","1318","138","211","0","2","0","516","2","0","17","2768","149","420","8","0","307","117","0","64","0","45","0","38","0","0","0","1","0","14","0","0","0","0"
"L11195","runner","org.junit.runner","L2978","L103","0.062826","3","8","8","0","0","0","0","0.483444","0.323712","572","73","78","0.582645","0.339559","1109","141","101","1195","2074","47","45","0","30","5","170","6","2","139","1","2157","3804","77","91","19","0","44","39","9","312","695","8","49","0","9","2","249","1","0","12","740","54","150","29","0","101","43","0","43","0","21","0","6","0","0","0","0","0","2","0","0","0","0"
"L12593","runners","org.junit.runners","L2978","L103","0.0181631","3","18","6","0","0","0","0","0.666667","0.381537","715","26","13","0.408072","0.289069","1108","91","132","1159","2088","41","26","3","19","0","137","8","2","44","2","2725","4380","83","80","20","4","40","69","4","333","905","22","47","1","4","2","193","2","0","15","837","50","126","10","0","67","61","0","33","0","8","0","20","0","0","0","0","0","2","0","0","0","0"
"L14302","validator","org.junit.validator","L2978","L103","0","0","0","0","0","0","0","0","0.317073","0.223558","93","13","28","0.317073","0.223558","93","13","28","323","505","11","20","0","4","1","33","1","0","22","0","323","505","11","20","16","0","10","4","1","33","64","1","15","0","1","0","22","0","0","0","116","5","22","0","0","8","14","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","0"
"L14612","samples","org.junit.samples","L2978","L103","0.08418","2","2","2","0","0","0","0","0.117647","0.11194","15","2","15","0.0465116","0.111111","35","2","41","119","159","6","3","0","0","0","14","1","1","14","3","280","371","12","4","12","0","6","0","0","39","112","1","4","0","0","1","39","4","0","3","114","5","76","0","0","64","5","0","10","0","0","0","5","0","0","0","0","0","0","0","0","0","0"
"L14704","tests","org.junit.tests","L2978","L103","0.0360338","14","43","33","0","0","0","0","0.0666667","0.0575221","13","2","28","0.0140105","0.0147495","154","24","1689","213","278","8","14","0","0","0","23","6","9","19","0","10287","12746","257","558","32","1","124","48","2","1433","2578","123","487","0","2","21","1317","3","0","16","5614","324","1395","7","0","977","292","0","156","0","224","0","51","0","0","0","0","0","35","0","0","0","0"
"L3598","categories","org.junit.experimental.categories","L3595","L103","0","0","0","0","0","0","0","0","0.047619","0.16555","247","11","220","0.047619","0.16555","247","11","220","1245","1766","11","85","0","5","14","171","5","0","143","0","1245","1766","11","85","18","0","13","5","14","171","305","5","80","0","14","0","143","0","0","1","652","44","236","0","0","154","80","0","4","0","39","0","3","0","0","0","0","0","1","0","0","0","0"
"L4536","max","org.junit.experimental.max","L3595","L103","0","0","0","0","0","0","0","0","1","0.269461","90","14","0","1","0.269461","90","14","0","244","376","9","7","0","5","0","32","0","0","17","0","244","376","9","7","12","0","3","5","0","32","89","0","3","0","0","0","17","0","0","4","56","3","20","0","0","6","14","0","5","0","0","0","0","0","0","0","0","0","2","0","0","0","0"
"L4850","results","org.junit.experimental.results","L3595","L103","0","0","0","0","0","0","0","0","0.928571","0.325581","56","13","1","0.928571","0.325581","56","13","1","116","200","2","7","0","0","0","23","0","0","22","0","116","200","2","7","12","0","3","0","0","23","31","0","2","0","0","0","22","0","0","0","47","3","2","4","0","1","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"L4940","runners","org.junit.experimental.runners","L3595","L103","0","0","0","0","0","0","0","0","1","0.487179","19","2","0","1","0.487179","19","2","0","20","46","0","1","0","0","0","2","0","0","1","0","20","46","0","1","12","0","1","0","0","2","6","0","1","0","0","0","1","0","0","0","3","0","2","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
